Library,Total,Success,Failure,Model
GWT,350,149,201,COSTER
Joda-Time,250,56,194,COSTER
JDK,665,46,619,COSTER
XStream,173,139,34,COSTER
Hibernate,319,65,254,COSTER
Apache-Log4J,2,0,2,COSTER
Apache-Http,29,1,28,COSTER
Apache-Commons,15,10,5,COSTER
Apache-Struts,7,0,7,COSTER
KSoap2,5,5,0,COSTER
Org-JSON,7,0,7,COSTER
Dom4J,5,1,4,COSTER

GWT,350,303,47,RESICO-KNN
Joda-Time,250,170,80,RESICO-KNN
JDK,665,453,212,RESICO-KNN
XStream,173,144,29,RESICO-KNN
Hibernate,319,242,77,RESICO-KNN
Apache-Log4J,2,1,1,RESICO-KNN
Apache-Http,29,26,3,RESICO-KNN
Apache-Commons,15,14,1,RESICO-KNN
Apache-Struts,7,7,0,RESICO-KNN
KSoap2,5,5,0,RESICO-KNN
Org-JSON,7,0,7,RESICO-KNN
Dom4J,5,4,1,RESICO-KNN
